id,name,available,experience,preferred_positions,secondary_positions,unwilling_positions,optional_position_override,optional_player_link
P01,Homer,1,5,C,LD;RD;LW;RW,,,
P02,Marge,1,4,LD;RD;C;LW;RW,,,,
P03,Bart,1,4,LD;RD;C;LW;RW,,,,
P04,Lisa,1,4,C,LD;RD;LW;RW,,,
P05,Maggie,1,3,LD;RD;C;LW;RW,,,,
P06,Ned,1,3,C;LW;RW,LD;RD,,,
P07,Moe,1,3,LD;RD,C;LW;RW,,,
P08,Milhouse,1,2,LD;RD,C;LW;RW,,,
P09,Krusty,1,2,C;LW;RW,LD;RD,,,
P10,Apu,1,2,LD;RD,C;LW;RW,,,
P11,Nelson,1,2,LW;RW;LD;RD,C,,,
P12,Otto,1,2,LW;RW;C,LD;RD,,,
P13,Ralph,1,1,LD;RD,,,,
P14,Barney,1,1,LW;RW;LD;RD,,,,
P15,Lenny,1,1,LW;RW,,,,
